SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_VIDEO_COUNT,COMP_IMG_COUNT,COMP_HAS_RICH_CONTENT,RETAIL_SALES_VALUE,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS_AVAILABLE,AV_OOS_OOS,GROWTH_16_WEEK
1.25,24,220,0,1,0,12542.5,0,0,0,0,4,-0.754406931,0,6,4.8,1,0,0.059867208
1.25,28,101,0,3,0,3276.25,0,0,0,0,4,0.43797841,0,3,3,1,0,0.069514173
1.35,29,360,0,1,0,7976.35,0,0,0,0,3,0.274300262,0,3,5,1,0,0.08156299
1.25,25,110,0,1,0,11157.5,0,1,0,1,0,0,0,3,2.3,1,0,0.070978721
1.5,44,476,0,1,0,4365,1,1,1,2,2,0.438817519,1,9,4.8,1,0,0.078052875
2.99,26,247,0,1,0,7275.22,0,0,0,0,3,0.422407242,0,4,4,1,0,0.033483977
2.2,18,101,0,3,0,2354,1,0,1,0,2,0.43170175,0,1,5,1,0,0.037427942
3.5,49,312,0,1,0,2968,1,0,0,0,3,0.142118011,0,9,4.9,1,0,0.006465512
1.25,33,95,0,1,0,2330,0,0,0,0,3,0.302163783,0,1,5,1,0,0.076122368
0.99,33,531,0,1,0,6669.63,1,1,1,2,3,0,1,4,3,1,0,0.133026031
1.25,29,360,0,1,0,5115,0,0,0,0,3,0.407511911,0,2,5,1,0,0.058442214
1.5,33,384,0,1,0,5323.9,1,0,1,0,3,0.377410752,0,102,4.8,1,0,0.094861935
3.5,31,98,0,1,0,2306.5,0,0,0,0,4,0.585191576,0,1,5,1,0,0.134477515
1.25,26,70,0,3,0,1546.25,0,0,0,0,2,0.323713173,1,,,1,0,0.060893896
1.65,33,271,0,1,0,10371.95,1,1,1,1,3,0.491891714,1,103,4.8,1,0,0.067507274
3,24,110,0,1,0,4939.3,0,0,0,0,0,0.543640044,0,71,4.7,1,0,0.010083811
1.25,24,220,0,1,0,12733.75,0,0,0,0,4,0.38739004,1,6,4.8,1,0,0.041057309
5,22,71,0,4,0,2338,0,0,0,0,0,0.330854883,0,2,2.5,1,0,0.091981567
3.5,28,109,0,1,0,4843.5,0,0,0,0,2,0.422500595,0,1,3,1,0,0.13275954
0.99,30,331,0,1,0,4630.69,1,1,1,2,2,0.389016645,0,6,4.7,1,0,0.084169556
3,18,101,0,3,0,3298.87,1,0,1,0,2,0.459701595,0,1,5,1,0,0.011766509
1.35,27,203,0,1,0,4376.4,0,0,0,0,2,0.285044277,0,4,4,1,0,0.054274687
1.25,22,199,0,1,0,83818.5,0,1,0,1,0,0.421068767,0,4,4,1,0,0.060092149
3.5,23,347,0,1,0,10782.52,0,1,0,0,3,0.444805518,0,92,4.6,1,0,0.028281481
