SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_IMG_COUNT,RETAIL_SALES_VALUE,RETAIL_SALES_UNIT,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,LAST_1_WEEK_SALES,LAST_2_WEEK_SALES,LAST_4_WEEK_SALES,LAST_8_WEEK_SALES,LAST_16_WEEK_SALES,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS
1.0,35,342,1,1910.0,1910,0,0,0,0,0,0.0,3862,6027,9263,11064,11064,1,1.0,1.0,0
3.5,30,110,1,6515.5,1861,1,0,0,0,2,0.28468470954194,5063,76453,160713,206088,214400,0,7.0,5.0,0
1.99,33,244,1,7330.78,3676,0,0,0,0,0,0.422592913364603,7554,11660,19338,33849,57025,0,3.0,2.7,0
3.5,49,312,1,9042.5,2583,1,0,0,0,3,0.486698876150104,4779,5627,10117,46394,448380,0,10.0,4.9,0
1.99,33,244,1,7506.48,3766,0,0,0,0,4,-0.0458315025933754,7837,11214,18399,32344,63225,0,3.0,2.7,0
1.8,30,246,1,4003.29,2224,1,0,1,0,3,0.41324628304494,4349,6792,13052,29082,67560,0,2.0,5.0,0
3.0,24,109,1,14525.0,7260,0,0,0,0,0,0.342309113483528,26508,44907,74493,81035,103261,0,71.0,4.7,0
1.35,37,165,4,6836.7,5062,0,0,0,0,3,0.366976630317082,9674,13698,21871,46380,83390,0,2.0,4.5,0
1.25,24,220,1,12733.75,10187,0,0,0,0,4,0.387390040285899,20320,30160,48387,115823,239665,1,6.0,4.8,0
1.25,32,119,4,1047.5,838,1,0,1,0,3,0.377417574005793,1521,2130,3031,7206,14648,0,1.0,1.0,0
3.0,26,102,1,1725.0,575,0,0,0,0,3,0.54899113596083,1218,1770,3330,4286,4286,0,1.0,5.0,0
1.35,36,180,1,4300.35,3171,0,0,0,0,0,0.354284198793186,4776,4807,7999,15258,36849,0,3.0,5.0,0
0.99,26,607,1,1413.72,1428,0,0,0,0,0,0.248485712477453,3162,4845,8006,14368,24336,1,8.0,4.1,0
1.8,30,324,1,7584.71,4524,1,1,1,2,3,0.438043704399351,11059,16402,21139,39124,75945,0,4.0,5.0,0
3.5,30,110,1,2247.0,642,1,0,0,0,2,0.340207607175041,1178,1542,2167,2336,2336,0,1.0,5.0,0
0.99,26,182,1,1248.39,1261,1,1,1,2,3,0.331563002467261,2454,3730,6369,16193,45889,0,6.0,3.8,0
1.35,33,95,1,2274.6,1664,0,0,0,0,3,0.432831894666639,3906,6363,14328,24461,43164,1,5.0,4.6,0
