SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_IMG_COUNT,RETAIL_SALES_VALUE,RETAIL_SALES_UNIT,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,LAST_1_WEEK_SALES,LAST_2_WEEK_SALES,LAST_4_WEEK_SALES,LAST_8_WEEK_SALES,LAST_16_WEEK_SALES,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS
1.35,42,94,1,10289.6,7624,0,0,0,0,5,0.427748984,15334,23126,39644,70106,124232,0,68,4.4,0
3,26,109,3,3106.41,1040,0,0,0,0,2,0.550488707,2075,3783,6827,8255,62472,1,1,5,0
1.5,36,180,1,5110.7,3483,0,0,0,0,3,0.382863253,6918,10506,16693,25130,49847,0,3,5,0
1,35,342,1,2921.25,2913,0,0,0,0,0,0,5624,8530,13481,21774,28976,0,3,3.7,0
1.25,36,182,4,2602.25,2076,0,0,0,0,0,0.259922969,4353,6894,11996,21689,36421,1,1,5,0
1.25,43,203,1,1787.7,1430,1,1,1,2,2,0.340406658,2459,3072,3147,3150,3150,0,1,5,0
1.65,48,197,1,26556.6,16004,1,1,1,1,3,0.445718329,30928,46562,75616,118598,262700,0,6,4.2,0
3.5,26,247,1,33958.32,10100,0,0,0,0,3,0.569441361,15187,19799,26263,34696,69603,1,4,4,0
1.25,24,220,1,11861.25,9489,0,0,0,0,0,0.370366,18683,27131,43050,84548,163442,0,6,4.8,0
2.2,30,366,1,6894.8,3134,1,1,1,1,2,0.115552849,8662,14301,24145,38140,104210,0,13,3.7,0
2.99,26,247,1,6980.16,2328,1,1,1,2,3,0.405490815,4239,6667,12532,22493,44655,0,4,4,0
1.25,24,220,1,12643.75,10115,0,0,0,0,4,0.357437179,19632,29031,49351,91488,237661,0,6,4.8,0
1.5,44,476,1,655.5,437,1,1,1,2,2,0.485639839,1122,2364,6691,12431,17811,0,9,4.8,0
3,30,366,1,9312,3104,1,1,1,1,2,-1.824095892,6330,10477,19193,61031,112795,1,13,3.7,0
1.5,38,368,1,9695.3,6463,1,1,1,0,3,0.372678089,11940,14432,26371,42637,168012,0,7,4.8,0
1.25,24,220,1,12415,9932,0,0,0,0,0,0.339672341,19676,29347,48373,86494,162525,0,6,4.8,0
3.5,28,111,1,2002,572,1,1,1,2,2,0.508917149,1058,1427,3070,3272,3272,0,1,3,0
2,44,315,1,10124,5062,0,0,0,0,3,0,9255,12111,12862,12862,12862,1,1,5,0
1.5,33,433,1,10176.9,6885,0,0,0,0,3,0.390586449,14485,21974,34734,55032,126378,0,5,5,0
1.25,37,165,4,4243,3391,0,0,0,0,3,0.389925603,6578,9677,15537,27032,47849,0,1,4,0
1.25,44,87,4,777.5,622,1,0,0,0,3,0.407694186,1202,1917,3302,6082,10624,0,1,5,0
1.35,27,203,1,4623.3,3421,0,0,0,0,2,0.373859234,6627,9859,16012,29028,51076,0,4,4,0
0.99,33,531,1,5584.75,5613,1,1,1,2,3,0,11059,15359,22742,57877,104535,0,4,3,0
0.99,33,531,1,6623.21,6672,1,1,1,2,3,0,12929,18255,30387,51363,93672,1,4,3,0
3,24,111,1,9947,4964,0,1,0,2,0,0.402253785,9416,11824,13024,13398,28824,1,71,4.7,0
1.99,35,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
2.5,49,199,1,12349.5,4878,1,0,1,0,2,0.355660515,9594,13540,20356,36010,77518,1,6,4.3,0
3.5,23,289,4,7387.88,2110,0,0,0,0,3,0.267559687,4028,5983,9615,21145,51689,0,91,4.6,0
1.5,24,368,1,13945.9,9296,0,0,0,0,0,0.321684614,18096,27233,87617,162399,240044,1,6,4.8,0
5,38,325,4,1610,322,0,0,0,0,5,0.448261708,632,1952,2924,5564,11090,0,123,4.6,0
4,34,274,1,14895.02,5591,1,1,1,1,4,0.365469284,20142,36123,60689,87948,118184,0,92,4.6,0
0.99,30,331,1,3157.99,3182,1,0,1,0,3,0.20406142,8490,11775,12421,34187,65024,1,6,4.7,0
1,33,307,1,15799.5,15750,1,0,1,0,3,0,27716,38042,58448,76072,88968,0,1,1,0
1.8,30,246,1,13349.88,7416,1,1,1,2,3,0.435414023,17091,35959,49227,74694,94009,1,3,5,0
7,38,286,1,10647,2366,0,0,0,0,5,0.387060572,3300,3642,4005,5066,5461,1,2,3,0
2,37,221,1,3728,3726,0,0,0,0,5,0.557861794,7217,12285,14498,14995,15624,1,2,5,0
5,17,109,1,1450,290,0,0,0,0,0,0.470322515,1064,2134,7739,15234,22397,0,11,1.5,0
1.25,18,159,3,25359.5,20282,0,0,0,0,0,0.382844054,40694,59750,96222,167190,344956,1,3,2.3,0
1.35,27,186,1,4646.2,3326,0,0,0,0,2,0.353242748,6564,9422,13576,20687,37816,1,4,4,0
1.35,36,182,4,4117.1,3050,0,0,0,0,3,0.282841498,5884,8800,14718,25920,43729,0,3,5,0
3.5,26,565,1,8964.5,2561,1,1,1,3,3,0.49677671,6088,10873,19636,31323,51201,1,5,4.2,0
3.5,23,289,4,7387.88,2110,0,0,0,0,3,0.267559687,4028,5983,9615,21145,51689,0,91,4.6,0
1.99,33,244,1,8707.08,4360,0,0,0,0,0,0.335243558,6980,9075,16155,30069,60569,0,3,2.7,0
0.99,26,607,1,1798.83,1817,0,0,0,0,0,-0.029353477,5653,6835,9997,16511,27484,1,8,4.1,0
1.5,39,96,1,2619.1,1746,1,0,1,0,3,0.55450298,4514,9710,26852,49038,89142,1,7,4.4,0
0.99,26,182,1,1192.95,1205,1,1,1,2,2,0.560633918,2463,3652,6071,11422,20992,0,7,4,0
3.6,26,353,1,6530.4,1809,1,1,1,2,3,0.518996384,3773,6497,15678,24172,44337,0,4,4,0
3.5,32,92,1,21650,10819,1,0,1,0,2,0.430365241,20208,25992,33440,41675,49255,0,3,5,0
5,22,71,4,1105,221,0,0,0,0,0,0.450101482,790,1447,2421,3837,5479,0,3,2,0
1.25,33,95,1,3046.05,2333,0,0,0,0,3,0.257779833,4183,5977,9702,15759,26200,0,1,5,0
2,30,324,1,5220.1,2610,1,0,1,0,3,0.528101486,5074,7406,12781,29465,63008,1,6,4.3,0
1.35,36,180,1,2179.65,1605,0,0,0,0,3,0.355181854,1636,1949,8498,15978,36569,1,3,5,0
1.25,24,220,1,12542.5,10034,0,0,0,0,4,-0.754406931,19026,28737,47953,81514,162209,0,6,4.8,0
1.25,28,101,3,3276.25,2621,0,0,0,0,4,0.43797841,5143,7843,12852,23616,38841,0,3,3,0
1.35,29,360,1,7976.35,5905,0,0,0,0,3,0.274300262,13341,21250,36345,63613,96968,0,3,5,0
1.25,25,110,1,11157.5,8910,0,1,0,1,0,0,17797,27140,44214,77125,131631,0,3,2.3,0
1.5,44,476,1,4365,2910,1,1,1,2,2,0.438817519,4364,5852,8650,12120,19064,1,9,4.8,0
2.99,26,247,1,7275.22,2433,0,0,0,0,3,0.422407242,5463,8234,13048,24595,82756,0,4,4,0
2.2,18,101,3,2354,1070,1,0,1,0,2,0.43170175,2139,3022,4421,7832,23592,0,1,5,0
3.5,49,312,1,2968,848,1,0,0,0,3,0.142118011,2400,5338,30548,57911,454411,0,9,4.9,0
1.25,33,95,1,2330,1850,0,0,0,0,3,0.302163783,3644,5560,9045,14508,25170,0,1,5,0
0.99,33,531,1,6669.63,6703,1,1,1,2,3,0,13813,28127,41807,65522,107603,1,4,3,0
1.25,29,360,1,5115,4080,0,0,0,0,3,0.407511911,7975,11446,18979,29614,59392,0,2,5,0
1.5,33,384,1,5323.9,3549,1,0,1,0,3,0.377410752,7996,17543,38952,71538,100641,0,102,4.8,0
3.5,31,98,1,2306.5,659,0,0,0,0,4,0.585191576,1364,1983,3550,4603,4603,0,1,5,0
1.65,33,271,1,10371.95,6793,1,1,1,1,3,0.491891714,17712,26760,38571,65054,134030,1,103,4.8,0
3,24,110,1,4939.3,1908,0,0,0,0,0,0.543640044,3268,4334,30360,69654,105714,0,71,4.7,0
1.25,24,220,1,12733.75,10187,0,0,0,0,4,0.38739004,20320,30160,48387,115823,239665,1,6,4.8,0
5,22,71,4,2338,569,0,0,0,0,0,0.330854883,1226,1725,2571,3773,5425,0,2,2.5,0
3.5,28,109,1,4843.5,1556,0,0,0,0,2,0.422500595,3535,5278,6316,10429,13129,0,1,3,0
0.99,30,331,1,4630.69,4139,1,1,1,2,2,0.389016645,10207,16154,24716,38183,70655,0,6,4.7,0
3,18,101,3,3298.87,1836,1,0,1,0,2,0.459701595,3668,5127,6689,14711,123996,0,1,5,0
1.35,27,203,1,4376.4,3232,0,0,0,0,2,0.285044277,6699,9385,15599,28892,49489,0,4,4,0
1.25,22,199,1,83818.5,67044,0,1,0,1,0,0.421068767,92122,113042,149272,220022,348132,0,4,4,0
3.5,23,347,1,10782.52,3080,0,1,0,0,3,0.444805518,5953,9261,16299,29166,116967,0,92,4.6,0
1.25,23,92,1,2579,2057,0,0,0,0,3,0.340152685,3665,5156,6516,14972,24523,0,3,3.7,0
1.25,18,441,1,24477.5,19576,0,1,0,1,0,1.44954903,40852,60700,100180,173236,320144,0,3,2.3,0
5,17,111,1,2144,534,0,1,0,2,0,0.405705838,921,1217,1847,6554,20512,0,11,1.5,0
3.5,28,110,1,115.5,37,1,1,1,2,2,0.424134591,11839,40263,64312,69417,76797,1,1,3,0
2.99,26,247,1,7121.37,2376,1,1,1,2,3,0.434287556,5070,7528,12991,22732,67025,0,4,4,0
3.5,28,109,1,24321.78,6948,1,1,1,2,2,0.486470134,7804,8518,12053,15180,21647,1,1,3,0
3.5,31,98,1,4729,1525,0,0,0,0,4,0.386259313,2465,3241,4300,20030,70598,0,6,4.3,0
1.35,36,180,1,3455.85,2558,0,0,0,0,0,0.40453861,4621,5645,10879,23800,39450,0,3,5,0
1.8,30,246,1,17415.81,9675,1,0,1,0,3,0.435394605,28543,34949,49170,69422,91638,1,3,5,0
3.5,26,565,1,13185.5,3767,1,1,1,2,2,0.49657866,7287,10296,15450,32525,54369,1,5,4.2,0
1.25,18,441,1,35224.5,28174,0,1,0,1,0,0.412018944,51548,72874,115470,196224,346406,0,4,3,0
3,18,101,3,6988,3493,0,0,0,0,2,0.444931501,6021,7069,9192,15042,36861,0,1,5,0
3,18,101,3,3122.86,1048,1,0,1,0,2,0.627342677,2123,3959,7250,13467,98935,1,1,5,0
1.25,18,159,3,21030.5,16820,0,0,0,0,3,0.526212873,32084,45478,80814,237026,395360,0,3,2.3,0
1.35,32,119,4,1157.1,851,1,0,1,0,3,0.381226467,1743,2705,4501,8310,14378,0,4,4,0
1.25,18,441,1,68875,55088,0,0,0,0,0,0.43004807,100248,175002,226550,310048,463708,0,4,3,0
1.5,33,384,1,10156.25,8120,1,1,1,2,3,0.339795198,14083,16931,24042,49681,111218,0,102,4.8,0
4,34,274,1,14115.5,4343,0,0,0,0,3,0.451887166,6506,8004,15110,70208,115435,0,92,4.6,0
1,33,307,1,5636,5618,1,0,1,0,3,0,11543,17710,30020,53508,124748,0,2,1,0
1.99,36,308,1,16402.73,8222,1,1,1,4,2,0.431596339,15933,23686,37606,53820,203062,1,2,4,0
2.99,26,247,1,6184.29,2063,1,1,1,2,3,0.27637792,5936,9391,16035,52365,82479,0,4,4,0
3.5,26,247,1,30170.72,8620,0,0,0,0,3,0.588725699,16692,26792,36491,45825,81561,0,4,4,0
1.25,24,220,1,9573.75,7659,0,0,0,0,0,0.215313075,15919,26561,47594,87215,166119,0,6,4.8,0
1.99,33,244,1,5947.25,2983,0,0,0,0,0,0.247874813,6342,10314,17934,33550,58339,0,3,2.7,0
5,38,230,1,5348,1528,0,0,0,0,5,0.458519002,2628,2902,3402,6906,21232,0,123,4.6,0
1.25,36,182,4,3178.75,2541,0,0,0,0,3,0.39126597,5133,7643,12532,21993,33916,0,1,5,0
1.25,18,441,1,22519.5,18012,0,1,0,1,0,0.430037832,105306,160394,280308,374684,531590,0,4,3,0
1.65,39,458,1,30532.5,18442,1,0,1,0,2,0.432956057,40222,60884,97196,139510,223104,1,5,3.4,0
1.99,33,203,1,4475.05,2248,0,0,0,0,2,0.424135659,4441,6710,11038,18649,32694,0,1,5,0
3.5,49,312,1,16480.5,5491,1,0,1,0,4,0.401288794,9660,12243,15287,44987,437832,0,10,4.9,0
2.99,26,247,1,8424.33,2811,1,1,1,2,3,0.434232076,5187,7881,12772,23387,61216,0,4,4,0
3,24,109,1,29277,14592,0,1,0,2,0,0.200521991,16373,18054,21134,30037,52023,0,71,4.7,0
1.25,42,94,1,6468.8,5156,0,0,0,0,5,0.384410276,10936,18448,33280,61418,107704,0,68,4.4,0
1.8,30,324,1,5977.19,3861,1,0,1,0,3,0.44128317,4737,5222,15466,33856,73050,0,4,5,0
3.5,32,92,1,11012,5026,1,0,1,0,2,0.323251961,7448,9482,13502,22059,23263,0,3,5,0
1.25,37,165,4,3660.5,2921,0,0,0,0,3,0.390857099,5860,8755,14519,24219,47815,0,1,4,0
3.5,49,312,1,16480.5,5491,1,0,1,0,4,0.401288794,9660,12243,15287,44987,437832,0,10,4.9,0
1.25,25,110,1,10051,8037,0,0,0,0,0,0,16361,24754,40439,59211,129452,0,1,1,0
2,57,460,4,1956.1,978,1,1,1,0,5,0.36750141,1944,2813,4561,6684,13393,0,46,4.2,0
1.65,33,271,1,5672.35,3737,0,0,0,0,3,0.538638755,6069,8008,30220,81061,115590,0,103,4.8,0
2.2,26,109,3,2860,1300,0,0,0,0,2,0.403529347,2666,3835,5670,9641,24437,0,1,5,0
3,24,109,1,4614.3,1538,0,1,0,2,0,0.337403532,3120,6833,10450,23548,41706,0,71,4.7,0
1.65,38,368,1,12747.95,7725,0,0,0,0,3,0.344170486,14995,23110,39916,61738,101358,0,7,4.8,0
1.25,42,94,1,9347.5,7448,0,0,0,0,5,0.384615758,14470,21098,32034,61574,116118,0,68,4.4,0
5,38,190,1,1682,370,0,0,0,0,5,0.577328236,764,1376,2698,13810,28478,1,124,4.6,0
1.25,28,101,3,3141.25,2513,0,0,0,0,4,0.26674868,5464,8085,13307,24010,38707,1,3,3,0
1.99,33,244,1,6725.37,3377,0,0,0,0,0,0.410952362,6887,10562,17176,32127,62720,0,3,2.7,0
